Date,M1,M2,M3,M4,M5,M6,M7,M8,M9,Grand Total,,,
4/1/16 12:00 AM,0,2,2,2,2,2,3,1,2,16,,,
4/1/16 1:00 AM,1,0,2,3,1,1,1,1,1,11,,,
4/1/16 2:00 AM,3,1,0,0,2,2,2,0,2,12,,,
4/1/16 3:00 AM,3,1,2,1,1,2,1,4,2,17,,,
4/1/16 4:00 AM,2,1,1,3,1,1,1,1,2,13,,,
4/1/16 5:00 AM,1,0,1,2,2,0,1,0,1,8,,,
4/1/16 6:00 AM,4,0,0,3,3,1,3,1,0,15,,,
4/1/16 7:00 AM,2,1,1,3,2,1,3,0,1,14,,,
4/1/16 8:00 AM,0,0,2,2,0,1,1,2,1,9,,,
4/1/16 9:00 AM,1,1,1,2,1,0,2,0,1,9,,,
4/1/16 10:00 AM,1,1,1,0,1,1,3,1,1,10,,,
4/1/16 11:00 AM,0,1,2,2,2,0,1,1,2,11,,,
4/1/16 12:00 PM,1,1,0,1,1,1,0,1,2,8,,,
4/1/16 1:00 PM,1,1,1,2,4,1,0,1,3,14,,,
4/1/16 2:00 PM,1,0,0,2,1,0,1,1,2,8,,,
4/1/16 3:00 PM,0,1,0,1,1,1,0,1,1,6,,,
4/1/16 4:00 PM,1,1,2,2,1,1,1,1,1,11,,,
4/1/16 5:00 PM,1,3,0,1,2,1,1,1,1,11,,,0
4/1/16 6:00 PM,0,1,0,1,1,0,0,1,0,4,,,
4/1/16 7:00 PM,1,1,1,1,2,0,1,3,0,10,,,
4/1/16 8:00 PM,3,1,0,1,2,0,2,0,2,11,,,
4/1/16 9:00 PM,0,2,2,1,1,0,0,1,1,8,,,
4/1/16 10:00 PM,2,1,2,3,1,1,1,2,2,15,,,
4/1/16 11:00 PM,1,0,1,1,2,1,1,1,1,9,,,
4/2/16 1:00 AM,3,0,0,0,1,1,2,1,1,9,,,
4/2/16 2:00 AM,0,1,1,3,3,0,2,0,2,12,,,
4/2/16 3:00 AM,1,1,1,2,2,0,2,2,2,13,,,
4/2/16 4:00 AM,2,2,0,2,2,1,2,1,1,13,,,
4/2/16 5:00 AM,0,1,0,1,1,0,2,1,1,7,,,
4/2/16 6:00 AM,2,2,1,2,2,1,0,0,2,12,,,
4/2/16 7:00 AM,3,1,0,0,1,0,0,2,0,7,,,
4/2/16 8:00 AM,4,1,1,1,2,2,1,2,2,16,,,
4/2/16 9:00 AM,1,0,1,2,1,1,1,2,2,11,,,
4/2/16 10:00 AM,2,2,1,0,2,0,1,0,2,10,,,
4/2/16 11:00 AM,0,0,0,1,1,1,0,2,2,7,,,
4/2/16 12:00 PM,0,2,1,2,1,1,1,3,1,12,,,
4/2/16 1:00 PM,0,3,2,1,2,0,1,2,1,12,,,
4/2/16 2:00 PM,3,3,1,1,0,2,0,1,1,12,,,
4/2/16 3:00 PM,1,1,3,2,2,0,1,4,2,16,,,
4/2/16 4:00 PM,3,1,0,0,2,3,3,1,2,15,,,
4/2/16 5:00 PM,3,2,0,2,1,2,2,3,0,15,,,
4/2/16 6:00 PM,2,3,0,2,1,1,0,0,0,9,,,
4/2/16 7:00 PM,0,0,1,1,2,0,0,0,2,6,,,
4/2/16 8:00 PM,2,1,0,1,2,2,1,2,0,11,,,
4/2/16 9:00 PM,2,2,1,1,3,1,0,1,2,13,,,
4/2/16 10:00 PM,4,0,1,2,3,2,1,1,2,16,,,
4/2/16 11:00 PM,2,0,3,1,1,2,1,0,2,12,,,
4/3/16 12:00 AM,2,0,0,0,0,1,2,0,0,5,,,
4/3/16 1:00 AM,0,1,2,1,1,1,0,1,2,9,,,
4/3/16 2:00 AM,1,2,2,2,1,1,1,0,2,12,,,
4/3/16 3:00 AM,4,0,1,4,2,1,1,2,1,16,,,
4/3/16 4:00 AM,3,2,1,1,1,1,2,1,0,12,,,
4/3/16 5:00 AM,1,3,1,0,2,1,0,2,1,11,,,
4/3/16 6:00 AM,2,3,2,1,1,0,2,2,0,13,,,
