date,chemical,monitor,reading,duplicates
4/1/16 0:00,Methylosmolene,3,2.68382,Yes
4/1/16 0:00,Methylosmolene,7,2.63064,Yes
4/1/16 0:00,Chlorodinine,3,1.25917,No
4/1/16 0:00,Chlorodinine,7,0.943983,No
4/1/16 0:00,AGOC-3A,3,0.722303,No
4/1/16 0:00,Appluimonia,2,0.518521,No
4/1/16 0:00,Appluimonia,8,0.502186,No
4/1/16 0:00,AGOC-3A,7,0.497282,Yes
4/1/16 0:00,Appluimonia,6,0.458144,Yes
4/1/16 0:00,Methylosmolene,8,0.456104,Yes
4/1/16 0:00,AGOC-3A,8,0.438723,No
4/1/16 0:00,Methylosmolene,1,0.417423,No
4/1/16 0:00,Appluimonia,7,0.38494,Yes
4/1/16 0:00,Chlorodinine,1,0.382308,No
4/1/16 0:00,Appluimonia,4,0.378015,No
4/1/16 0:00,Appluimonia,9,0.272886,No
4/1/16 0:00,AGOC-3A,6,0.242289,Yes
4/1/16 0:00,Chlorodinine,6,0.239455,No
4/1/16 0:00,Chlorodinine,5,0.239101,Yes
4/1/16 0:00,AGOC-3A,2,0.228558,Yes
4/1/16 0:00,Chlorodinine,8,0.225446,No
4/1/16 0:00,Chlorodinine,9,0.197804,Yes
4/1/16 0:00,Methylosmolene,4,0.196198,Yes
4/1/16 0:00,AGOC-3A,1,0.160462,No
4/1/16 0:00,Methylosmolene,6,0.156771,No
4/1/16 0:00,AGOC-3A,5,0.15486,No
4/1/16 0:00,Methylosmolene,9,0.144993,Yes
4/1/16 0:00,Appluimonia,3,0.130435,Yes
4/1/16 0:00,Methylosmolene,2,0.110788,No
4/1/16 0:00,AGOC-3A,9,0.105787,No
4/1/16 0:00,AGOC-3A,4,0.0814906,No
4/1/16 0:00,Appluimonia,5,0.0296967,Yes
4/1/16 0:00,Methylosmolene,5,0.0226431,No
4/1/16 0:00,Chlorodinine,2,0.0115732,Yes
4/1/16 0:00,Chlorodinine,4,0.00473954,Yes
4/1/16 0:00,Appluimonia,1,0.0030929,No
4/1/16 1:00,Appluimonia,3,3.48407,Yes
4/1/16 1:00,AGOC-3A,3,2.55736,No
4/1/16 1:00,Methylosmolene,7,2.26404,No
4/1/16 1:00,Chlorodinine,7,1.26748,No
4/1/16 1:00,Methylosmolene,3,0.779529,No
4/1/16 1:00,Chlorodinine,8,0.708372,No
4/1/16 1:00,Appluimonia,7,0.63253,No
4/1/16 1:00,Appluimonia,8,0.565845,Yes
4/1/16 1:00,AGOC-3A,8,0.535,No
4/1/16 1:00,Appluimonia,5,0.452317,Yes
4/1/16 1:00,AGOC-3A,2,0.452257,No
4/1/16 1:00,Methylosmolene,5,0.401722,No
4/1/16 1:00,AGOC-3A,6,0.394667,No
4/1/16 1:00,Methylosmolene,1,0.381961,No
4/1/16 1:00,Chlorodinine,6,0.349223,Yes
4/1/16 1:00,Chlorodinine,9,0.345217,Yes
4/1/16 1:00,Chlorodinine,1,0.325122,Yes
4/1/16 1:00,Chlorodinine,4,0.304023,Yes
4/1/16 1:00,AGOC-3A,5,0.301439,No
4/1/16 1:00,Methylosmolene,4,0.280295,Yes
4/1/16 1:00,Methylosmolene,8,0.272105,No
4/1/16 1:00,AGOC-3A,7,0.261157,Yes
4/1/16 1:00,Methylosmolene,2,0.225031,No
4/1/16 1:00,Methylosmolene,6,0.18997,No
4/1/16 1:00,Methylosmolene,9,0.186488,No
4/1/16 1:00,Appluimonia,6,0.168714,No
4/1/16 1:00,Chlorodinine,5,0.163982,No
4/1/16 1:00,Appluimonia,2,0.152105,No
4/1/16 1:00,Appluimonia,9,0.131138,No
4/1/16 1:00,Appluimonia,4,0.130407,No
4/1/16 1:00,AGOC-3A,9,0.123042,No
4/1/16 1:00,Chlorodinine,3,0.0842611,Yes
4/1/16 1:00,AGOC-3A,4,0.0827827,Yes
4/1/16 1:00,Chlorodinine,2,0.0777142,No
4/1/16 1:00,AGOC-3A,1,0.0656058,No
4/1/16 1:00,Appluimonia,1,0.00951907,No
4/1/16 2:00,AGOC-3A,3,2.39479,No
4/1/16 2:00,Appluimonia,7,1.66118,No
4/1/16 2:00,Methylosmolene,7,0.970838,No
4/1/16 2:00,Chlorodinine,2,0.689016,No
4/1/16 2:00,Appluimonia,2,0.645735,Yes
4/1/16 2:00,Methylosmolene,9,0.634746,Yes
4/1/16 2:00,Chlorodinine,7,0.608635,Yes
4/1/16 2:00,AGOC-3A,2,0.509981,No
4/1/16 2:00,Methylosmolene,6,0.474245,Yes
4/1/16 2:00,AGOC-3A,8,0.437709,No
4/1/16 2:00,Chlorodinine,4,0.432936,No
4/1/16 2:00,Chlorodinine,3,0.428891,No
4/1/16 2:00,Appluimonia,4,0.396515,No
4/1/16 2:00,Chlorodinine,8,0.386579,No
4/1/16 2:00,Appluimonia,6,0.381269,Yes
4/1/16 2:00,Chlorodinine,6,0.367956,No
4/1/16 2:00,Chlorodinine,1,0.32639,Yes
