chemical	hour	value
1	1	0.160462
1	2	0.0656058
1	3	0.20397
1	4	0.0895294
1	5	0.618398
1	6	0.294556
1	7	0.210431
1	8	0.27182399999999995
1	9	0.0343286
1	10	0.270683
1	11	0.025183599999999997
1	12	0.06696410000000001
1	13	0.469625
1	14	0.271808
1	15	0.0306601
1	16	0.266658
1	17	0.271123
1	18	0.176284
1	19	0.09868989999999997
1	20	0.0789502
1	21	0.491511
1	22	0.038523800000000004
1	23	0.161849
1	24	0.404146
2	1	0.0030929
2	2	0.00951907
2	3	0.09833489999999999
2	4	0.288575
2	5	0.33195
2	6	0.0388837
2	7	0.0228912
2	8	0.0100301
2	9	0.366206
2	10	0.300466
2	11	0.268343
2	12	0.132435
2	13	0.032094
2	14	0.24354
2	15	0.18720799999999999
2	16	0.127849
2	17	0.4533720000000001
2	18	0.026108600000000003
2	19	0.705206
2	20	0.320393
2	21	0.08394349999999999
2	22	0.175374
2	23	0.391567
2	24	0.0833816
3	1	0.382308
3	2	0.32512199999999997
3	3	0.32639
3	4	0.357711
3	5	0.11758099999999999
3	6	0.108269
3	7	0.32179
3	8	0.18818900000000002
3	9	0.380071
3	10	0.204093
3	11	0.374429
3	12	0.392052
3	13	0.233285
3	14	0.23584699999999997
3	15	0.44039300000000003
3	16	0.0172048
3	17	0.299149
3	18	0.5199779999999999
3	19	0.405464
3	20	0.0420393
3	21	0.25702800000000003
3	22	0.275541
3	23	0.298078
3	24	0.253087
4	1	0.4174229999999999
4	2	0.381961
4	3	0.0378444
4	4	0.353672
4	5	0.284877
4	6	0.989826
4	7	0.25096599999999997
4	8	0.072075
4	9	0.292984
4	10	0.0988394
4	11	0.45752200000000004
4	12	0.22842300000000001
4	13	0.357148
4	14	0.22393200000000002
4	15	0.283356
4	16	0.177346
4	17	0.0454476
4	18	0.240693
4	19	0.199028
4	20	0.5685439999999999
4	21	0.28476
4	22	0.0195625
4	23	0.314071
4	24	0.5295850000000001
