date,Methylosmolene,Chlorodinine,AGOC_3A,Appluimonia
4/1/2016 0:00,0.0226431,0.239101,0.15486,0.0296967
4/1/2016 1:00,0.401722,0.163982,0.301439,0.452317
4/1/2016 2:00,0.0511753,0.0659318,0.206771,0.236313
4/1/2016 3:00,0.300778,0.0587969,0.242014,0.319679
4/1/2016 4:00,0.476344,0.033643,0.371454,0.246868
4/1/2016 5:00,0.259023,0.168359,0.238353,0.147356
4/1/2016 6:00,0.167723,0.0278427,0.0686394,0.105537
4/1/2016 7:00,0.386002,0.343747,0.155064,0.089142
4/1/2016 8:00,0.177531,0.306871,0.071417,0.246648
4/1/2016 9:00,0.0419438,0.0700218,0.0455874,0.217195
4/1/2016 10:00,0.163966,0.192601,0.44956,0.326147
4/1/2016 11:00,0.143529,0.025848,0.18658,0.42455
4/1/2016 12:00,0.208672,0.346274,0.396962,0.0766411
4/1/2016 13:00,0.00629568,0.0744315,0.0225215,0.107169
4/1/2016 14:00,0.281457,0.101092,0.0458705,0.239086
4/1/2016 15:00,0.04561,0.126492,0.43167,0.0582271
4/1/2016 16:00,0.169644,0.263674,6.36965,0.0176918
4/1/2016 17:00,0.483056,1.28288,0.299581,0.0014664
4/1/2016 18:00,0.345077,0.191958,0.628314,0.136053
4/1/2016 19:00,0.121417,0.122929,0.0497588,0.219221
4/1/2016 20:00,0.253722,0.00935036,0.431884,0.863043
4/1/2016 21:00,0.350383,0.236391,0.0734797,0.186273
4/1/2016 22:00,0.0370354,0.239755,0.030958,0.11621
4/1/2016 23:00,0.0713231,0.195843,0.508771,0.133455
4/2/2016 0:00,0,0,0,0
4/2/2016 1:00,0.171685,0.0680395,0.114101,0.0244924
4/2/2016 2:00,0.400143,0.0535859,0.117844,0.107135
4/2/2016 3:00,0.43345,0.357732,0.359576,0.320008
4/2/2016 4:00,0.129138,0.163406,0.255214,0.156115
4/2/2016 5:00,0.0268431,0.64415,0.123225,0.119141
4/2/2016 6:00,0.285396,0.132413,0.28003,0.157049
4/2/2016 7:00,0.327437,0.460673,0.29315,0.185936
4/2/2016 8:00,0.0410121,0.42478,0.206986,0.405257
4/2/2016 9:00,0.0359026,0.201844,0.21322,0.144261
4/2/2016 10:00,0.382888,0.338916,0.101197,0.402147
4/2/2016 11:00,0.16746,0.241115,0.313765,0.374205
4/2/2016 12:00,0.0950082,0.669847,16.03786,0.238976
4/2/2016 13:00,0.114671,0.174896,0.451438,0.270748
4/2/2016 14:00,0.218777,0.2197,0.459604,0.19133
4/2/2016 15:00,0.501425,0.069568,0.426486,0.44522
4/2/2016 16:00,0.162348,0.00448124,0.682529,0.115508
4/2/2016 17:00,0.230201,0.489883,0.0327251,0.298561
4/2/2016 18:00,0.114235,0.00554216,0.275936,0.396615
4/2/2016 19:00,0.0186703,0.318765,0.242303,0.16054
4/2/2016 20:00,0.0829826,0.158108,8.51139,0.103249
4/2/2016 21:00,0.257762,0.174326,0.227866,0.307855
